Name,ID,Tank,Room,Diet,Se,Ye
Q1101A,Q1101A,Q1101,Q1,InY3,In,Y3
Q1101B,Q1101B,Q1101,Q1,InY3,In,Y3
Q1101C,Q1101C,Q1101,Q1,InY3,In,Y3
Q1102A,Q1102A,Q1102,Q1,InCON,In,Y0
Q1102B,Q1102B,Q1102,Q1,InCON,In,Y0
Q1102C,Q1102C,Q1102,Q1,InCON,In,Y0
Q1103A,Q1103A,Q1103,Q1,OrY2,Or,Y2
Q1103B,Q1103B,Q1103,Q1,OrY2,Or,Y2
Q1103C,Q1103C,Q1103,Q1,OrY2,Or,Y2
Q1104A,Q1104A,Q1104,Q1,InCON,In,Y0
Q1104B,Q1104B,Q1104,Q1,InCON,In,Y0
Q1104C,Q1104C,Q1104,Q1,InCON,In,Y0
Q1105A,Q1105A,Q1105,Q1,OrY1,Or,Y1
Q1105B,Q1105B,Q1105,Q1,OrY1,Or,Y1
Q1105C,Q1105C,Q1105,Q1,OrY1,Or,Y1
Q1106A,Q1106A,Q1106,Q1,OrCON,Or,Y0
Q1106B,Q1106B,Q1106,Q1,OrCON,Or,Y0
Q1106C,Q1106C,Q1106,Q1,OrCON,Or,Y0
Q1107A,Q1107A,Q1107,Q1,InY1,In,Y1
Q1107B,Q1107B,Q1107,Q1,InY1,In,Y1
Q1107C,Q1107C,Q1107,Q1,InY1,In,Y1
Q1108A,Q1108A,Q1108,Q1,OrY2,Or,Y2
Q1108B,Q1108B,Q1108,Q1,OrY2,Or,Y2
Q1108C,Q1108C,Q1108,Q1,OrY2,Or,Y2
Q1109A,Q1109A,Q1109,Q1,InY2,In,Y2
Q1109B,Q1109B,Q1109,Q1,InY2,In,Y2
Q1109C,Q1109C,Q1109,Q1,InY2,In,Y2
Q1110A,Q1110A,Q1110,Q1,InY1,In,Y1
Q1110B,Q1110B,Q1110,Q1,InY1,In,Y1
Q1110C,Q1110C,Q1110,Q1,InY1,In,Y1
Q1111A,Q1111A,Q1111,Q1,OrY3,Or,Y3
Q1111B,Q1111B,Q1111,Q1,OrY3,Or,Y3
Q1111C,Q1111C,Q1111,Q1,OrY3,Or,Y3
Q1112A,Q1112A,Q1112,Q1,OrY1,Or,Y1
Q1112B,Q1112B,Q1112,Q1,OrY1,Or,Y1
Q1112C,Q1112C,Q1112,Q1,OrY1,Or,Y1
Q2101A,Q2101A,Q2101,Q2,InCON,In,Y0
Q2101B,Q2101B,Q2101,Q2,InCON,In,Y0
Q2101C,Q2101C,Q2101,Q2,InCON,In,Y0
Q2102A,Q2102A,Q2102,Q2,OrY1,Or,Y1
Q2102B,Q2102B,Q2102,Q2,OrY1,Or,Y1
Q2102C,Q2102C,Q2102,Q2,OrY1,Or,Y1
Q2103A,Q2103A,Q2103,Q2,OrY2,Or,Y2
Q2103B,Q2103B,Q2103,Q2,OrY2,Or,Y2
Q2103C,Q2103C,Q2103,Q2,OrY2,Or,Y2
Q2104A,Q2104A,Q2104,Q2,OrY3,Or,Y3
Q2104B,Q2104B,Q2104,Q2,OrY3,Or,Y3
Q2104C,Q2104C,Q2104,Q2,OrY3,Or,Y3
Q2105A,Q2105A,Q2105,Q2,InY3,In,Y3
Q2105B,Q2105B,Q2105,Q2,InY3,In,Y3
Q2105C,Q2105C,Q2105,Q2,InY3,In,Y3
Q2106A,Q2106A,Q2106,Q2,InY2,In,Y2
Q2106B,Q2106B,Q2106,Q2,InY2,In,Y2
Q2106C,Q2106C,Q2106,Q2,InY2,In,Y2
Q2107A,Q2107A,Q2107,Q2,InY1,In,Y1
Q2107B,Q2107B,Q2107,Q2,InY1,In,Y1
Q2107C,Q2107C,Q2107,Q2,InY1,In,Y1
Q2108A,Q2108A,Q2108,Q2,OrCON,Or,Y0
Q2108B,Q2108B,Q2108,Q2,OrCON,Or,Y0
Q2108C,Q2108C,Q2108,Q2,OrCON,Or,Y0
Q2109A,Q2109A,Q2109,Q2,InY2,In,Y2
Q2109B,Q2109B,Q2109,Q2,InY2,In,Y2
Q2109C,Q2109C,Q2109,Q2,InY2,In,Y2
Q2110A,Q2110A,Q2110,Q2,OrY3,Or,Y3
Q2110B,Q2110B,Q2110,Q2,OrY3,Or,Y3
Q2110C,Q2110C,Q2110,Q2,OrY3,Or,Y3
Q2111A,Q2111A,Q2111,Q2,InY3,In,Y3
Q2111B,Q2111B,Q2111,Q2,InY3,In,Y3
Q2111C,Q2111C,Q2111,Q2,InY3,In,Y3
Q2112A,Q2112A,Q2112,Q2,OrCON,Or,Y0
Q2112B,Q2112B,Q2112,Q2,OrCON,Or,Y0
Q2112C,Q2112C,Q2112,Q2,OrCON,Or,Y0
